,Type,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
2615,Taurus,Ford,Automatic,Saudi,Semi Full,2016,3.5,175000,56008
2616,ES,Lexus,Automatic,Gulf Arabic,Standard,2019,3.5,39000,150000
2617,Prado,Toyota,Automatic,Saudi,Full,2016,4.0,174000,120000
2618,Yaris,Toyota,Automatic,Saudi,Standard,2018,1.5,195000,31000
2619,Sierra,GMC,Automatic,Saudi,Standard,2012,5.3,329000,40000
2620,Sonata,Hyundai,Automatic,Saudi,Standard,2017,2.4,61184,54000
2621,ES,Lexus,Automatic,Saudi,Full,2011,3.5,282000,53000
2622,Camaro,Chevrolet,Automatic,Other,Full,2016,3.6,118993,107000
2623,Patrol,Nissan,Automatic,Saudi,Semi Full,2017,5.7,93000,145000
2624,X-Trail,Nissan,Automatic,Saudi,Standard,2018,2.5,30000,68000
2625,Camry,Toyota,Automatic,Gulf Arabic,Full,2014,2.0,120000,45000
2626,Expedition,Ford,Automatic,Saudi,Standard,2018,3.5,55000,143000
2627,ZS,MG,Automatic,Saudi,Full,2020,1.5,33000,55000
2628,Senta fe,Hyundai,Automatic,Saudi,Semi Full,2014,3.0,11111,49000
2629,Sunny,Nissan,Automatic,Saudi,Standard,2019,1.5,93049,29500
2630,Datsun,Nissan,Manual,Saudi,Full,2015,2.4,205000,30000
2631,Camry,Toyota,Automatic,Saudi,Standard,2019,2.5,88000,70000
2632,Elantra,Hyundai,Automatic,Saudi,Semi Full,2013,2.0,300000,20000
2633,G70,Genesis,Automatic,Saudi,Semi Full,2019,2.0,11000,109000
2634,CT4,Cadillac,Automatic,Gulf Arabic,Semi Full,2020,3.7,100,159000
2635,Yaris,Toyota,Automatic,Saudi,Standard,2016,1.5,180000,28500
2636,X,BMW,Automatic,Gulf Arabic,Semi Full,2020,2.0,22000,130000
2637,LX,Lexus,Automatic,Gulf Arabic,Full,2014,5.7,88000,207000
2638,Sportage,Kia,Automatic,Unknown,Standard,2015,2.4,147000,38000
2639,Sentra,Nissan,Automatic,Saudi,Semi Full,2020,1.6,7000,55000
2640,Explorer,Ford,Automatic,Saudi,Standard,2014,3.5,150000,50000
2641,Camry,Toyota,Automatic,Saudi,Full,2004,3.5,322000,23000
2642,Tahoe,Chevrolet,Automatic,Saudi,Standard,2016,5.3,139000,110000
2643,Taurus,Ford,Automatic,Saudi,Standard,2018,3.5,81165,74000
2644,Elantra,Hyundai,Automatic,Saudi,Standard,2016,1.6,141000,36000
2645,Sunny,Nissan,Automatic,Saudi,Standard,2018,1.5,106000,24500
2646,Sonata,Hyundai,Automatic,Saudi,Full,2016,2.4,136000,42500
2647,Abeka,Chevrolet,Automatic,Saudi,Semi Full,2009,2.0,370000,11000
2648,Accord,Honda,Automatic,Gulf Arabic,Standard,2015,2.4,221000,48000
2649,Rio,Kia,Automatic,Saudi,Standard,2019,1.4,65000,35000
2650,Camry,Toyota,Automatic,Saudi,Standard,2015,2.5,179622,48000
2651,Patrol,Nissan,Automatic,Saudi,Full,2015,4.0,77000,166000
2652,Range Rover,Land Rover,Automatic,Saudi,Full,2015,2.0,113000,100000
2653,Expedition,Ford,Automatic,Saudi,Standard,2012,5.4,195000,45000
2654,Azera,Hyundai,Automatic,Saudi,Standard,2021,3.5,9000,122000
2655,Armada,Nissan,Automatic,Saudi,Standard,2007,5.6,240000,30000
2656,Carnival,Kia,Automatic,Saudi,Standard,2015,3.3,89000,38000
2657,Altima,Nissan,Automatic,Gulf Arabic,Semi Full,2018,2.5,78592,64000
2658,Mustang,Ford,Automatic,Other,Full,2016,2.3,84000,99000
2659,CX9,Mazda,Automatic,Other,Full,2017,3.0,93000,111000
2660,Furniture,Toyota,Automatic,Gulf Arabic,Semi Full,2016,2.7,211000,69000
2661,Sierra,GMC,Automatic,Saudi,Full,2016,5.3,161,80000
2662,Challenger,Dodge,Automatic,Saudi,Full,2014,5.7,155000,68000
2663,CX9,Mazda,Automatic,Saudi,Full,2019,2.5,33501,127000
2664,Sportage,Kia,Automatic,Other,Standard,2014,1.2,150000,33000
2665,Impala,Chevrolet,Automatic,Saudi,Semi Full,2018,3.6,35000,85000
2666,Taurus,Ford,Automatic,Saudi,Standard,2018,2.0,82000,77000
2667,S,Mercedes,Automatic,Other,Semi Full,2006,4.3,235115,15000
2668,Yukon,GMC,Automatic,Saudi,Semi Full,2016,5.3,55106,150000
2669,Pajero,Mitsubishi,Automatic,Saudi,Full,2017,3.5,54000,73000
2670,Expedition,Ford,Automatic,Saudi,Semi Full,2008,5.4,346000,27000
2671,FJ,Toyota,Automatic,Other,Full,2014,4.0,149000,75000
2672,Accord,Honda,Automatic,Gulf Arabic,Standard,2016,2.4,130000,61000
2673,Taurus,Ford,Automatic,Saudi,Standard,2019,2.0,85828,80500
2674,X7,Geely,Automatic,Saudi,Full,2019,2.4,32000,59500
2675,Impala,Chevrolet,Automatic,Saudi,Full,2015,3.5,200007,45000
2676,Yukon,GMC,Automatic,Saudi,Semi Full,2015,5.3,101060,125000
2677,CLS,Mercedes,Automatic,Saudi,Full,2014,3.5,130,100000
2678,Wrangler,Jeep,Automatic,Saudi,Semi Full,2019,3.6,26000,148000
2679,Suburban,Chevrolet,Automatic,Other,Full,2017,5.3,153000,162000
2680,Megane,Renault,Automatic,Gulf Arabic,Standard,2020,1.6,6400,42000
2681,Senta fe,Hyundai,Automatic,Gulf Arabic,Semi Full,2015,1.6,158000,54000
2682,Patrol,Nissan,Automatic,Saudi,Semi Full,2014,5.6,190000,105000
2683,CX5,Mazda,Automatic,Gulf Arabic,Standard,2020,2.5,4000,83500
2684,Eado,Changan,Automatic,Saudi,Semi Full,2020,1.6,64695,42000
2685,Elantra,Hyundai,Automatic,Saudi,Standard,2017,2.0,137000,39000
2686,Sierra,GMC,Automatic,Other,Semi Full,2011,5.3,258000,50000
2687,Edge,Ford,Automatic,Saudi,Full,2013,3.5,317125,32000
2688,FJ,Toyota,Automatic,Saudi,Full,2013,1.0,296000,79000
2689,E,Mercedes,Automatic,Saudi,Full,2014,4.0,161000,95000
2690,Suburban,GMC,Automatic,Saudi,Semi Full,2006,5.2,500000,14000
2691,Hilux,Toyota,Manual,Saudi,Full,2012,2.5,335200,50000
2692,Senta fe,Hyundai,Automatic,Saudi,Semi Full,2017,3.3,147,65000
2693,Challenger,Dodge,Automatic,Saudi,Full,2013,6.4,249000,70000
2694,Accent,Hyundai,Automatic,Saudi,Standard,2011,1.8,285205,14000
2695,Sonata,Hyundai,Automatic,Gulf Arabic,Semi Full,2019,2.4,28000,68000
2696,Navara,Nissan,Automatic,Saudi,Full,2015,2.5,129000,40000
2697,Sonata,Hyundai,Automatic,Saudi,Standard,2017,2.4,139000,43000
2698,X,BMW,Automatic,Saudi,Semi Full,2010,3.0,200,61000
2699,Accent,Hyundai,Automatic,Saudi,Standard,2019,1.4,102650,37500
2700,Prado,Toyota,Automatic,Gulf Arabic,Full,2019,4.0,82000,149000
2701,Power,Others,Automatic,Saudi,Full,2021,2.0,4000,95000
2702,Land Cruiser,Toyota,Automatic,Saudi,Standard,2020,4.0,560,191500
2703,B50,Others,Automatic,Saudi,Full,2016,1.4,89000,25000
2704,Elantra,Hyundai,Automatic,Saudi,Standard,2019,1.6,116842,48500
2705,6,Mazda,Automatic,Saudi,Standard,2018,2.5,188000,59000
2706,Taurus,Ford,Automatic,Other,Semi Full,2015,3.5,103000,78000
2707,Tahoe,Chevrolet,Automatic,Saudi,Standard,2016,5.3,217000,87000
2708,Acadia,GMC,Automatic,Saudi,Full,2008,3.6,229000,19000
2709,Camry,Toyota,Automatic,Saudi,Standard,2009,1.6,300000,24000
2710,Accent,Hyundai,Automatic,Saudi,Standard,2020,1.4,2600,45000
2711,Durango,Dodge,Automatic,Saudi,Standard,2013,3.6,115458,50000
2712,CS75,Changan,Automatic,Saudi,Full,2020,1.8,46000,62000
2713,Tahoe,Chevrolet,Automatic,Saudi,Standard,2016,5.2,144000,112000
2714,Echo Sport,Ford,Automatic,Gulf Arabic,Standard,2020,1.5,2819,59000
2715,Suburban,Chevrolet,Automatic,Saudi,Full,2015,5.3,70000,160000
2716,Corolla,Toyota,Automatic,Saudi,Standard,2018,1.6,40000,42000
2717,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2016,5.3,123496,130000
2718,Mustang,Ford,Manual,Saudi,Full,2007,2.3,300000,28000
2719,Sportage,Kia,Automatic,Saudi,Semi Full,2016,2.0,163000,43000
2720,Yukon,GMC,Automatic,Saudi,Standard,2010,5.3,352000,42000
2721,Taurus,Ford,Automatic,Saudi,Semi Full,2015,3.6,203000,55000
2722,Grand Cherokee,Jeep,Automatic,Saudi,Full,2015,5.7,146000,95000
2723,Expedition,Ford,Automatic,Saudi,Standard,2016,5.4,95000,72000
2724,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2014,5.3,157000,68500
2725,Land Cruiser,Toyota,Manual,Saudi,Standard,2013,4.6,350000,86000
2726,Patrol,Nissan,Automatic,Saudi,Standard,2015,5.7,190000,99000
2727,Altima,Nissan,Automatic,Saudi,Semi Full,2014,2.5,139337,36500
2728,Hilux,Toyota,Manual,Saudi,Full,2016,2.7,28000,94000
2729,Sunny,Nissan,Automatic,Saudi,Standard,2009,1.0,377000,11000
2730,Taurus,Ford,Automatic,Other,Semi Full,2010,3.5,318000,23000
2731,Accent,Hyundai,Automatic,Saudi,Standard,2015,1.4,500000,22000
2732,6,Mazda,Automatic,Other,Standard,2016,2.5,122000,53000
2733,Accent,Hyundai,Automatic,Saudi,Standard,2018,1.4,95000,28000
2734,Tahoe,Chevrolet,Automatic,Saudi,Standard,2019,5.3,40000,145000
2735,Emgrand,Geely,Automatic,Saudi,Full,2020,2.4,37000,58000
2736,Taurus,Ford,Automatic,Saudi,Standard,2018,2.0,95000,75000
2737,Town Car,Others,Automatic,Saudi,Semi Full,2005,5.0,286,14000
2738,Yaris,Toyota,Automatic,Saudi,Standard,2016,1.5,166000,28500
2739,3,Mazda,Automatic,Saudi,Standard,2018,1.8,54000,54000
2740,Sonata,Hyundai,Automatic,Saudi,Standard,2019,2.4,110900,57000
2741,G80,Genesis,Automatic,Saudi,Semi Full,2018,3.8,97000,98000
2742,Hilux,Toyota,Manual,Gulf Arabic,Semi Full,2020,2.7,49000,103000
2743,Colorado,Chevrolet,Manual,Saudi,Standard,2013,1.4,196000,28000
2744,Sonata,Hyundai,Automatic,Saudi,Semi Full,2020,2.5,44000,88000
2745,C300,Chrysler,Automatic,Other,Full,2016,3.6,121000,72000
2746,Camry,Toyota,Automatic,Saudi,Full,2020,2.5,1700,115000
2747,C,Mercedes,Automatic,Gulf Arabic,Full,2020,2.0,50000,150000
2748,Explorer,Ford,Automatic,Gulf Arabic,Full,2016,3.5,76677,111500
2749,Pajero,Mitsubishi,Automatic,Gulf Arabic,Full,2018,3.5,56000,76000
2750,F150,Ford,Automatic,Gulf Arabic,Full,2020,5.0,2061,155000
2751,GLE,Mercedes,Automatic,Saudi,Semi Full,2016,3.0,71000,138000
2752,CX9,Mazda,Automatic,Saudi,Full,2020,4.0,51000,130000
2753,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2019,8.0,132346,140000
2754,C,Mercedes,Automatic,Other,Full,2016,2.0,99000,129000
2755,Avalon,Toyota,Automatic,Saudi,Full,2014,3.8,156000,73000
2756,Pajero,Mitsubishi,Automatic,Saudi,Full,2018,3.8,60000,85000
2757,Hilux,Toyota,Manual,Saudi,Standard,2015,2.7,239900,46000
2758,Cerato,Kia,Automatic,Saudi,Semi Full,2014,1.6,223,24000
2759,Suburban,Chevrolet,Automatic,Saudi,Semi Full,2011,4.7,462000,40000
2760,Maxima,Nissan,Automatic,Saudi,Full,2016,3.5,155000,65000
2761,Rio,Kia,Automatic,Saudi,Standard,2019,1.4,79000,31000
2762,Hilux,Toyota,Manual,Gulf Arabic,Standard,2016,2.7,182774,62000
2763,Land Cruiser,Toyota,Manual,Saudi,Full,2015,4.0,136000,140000
2764,Challenger,Dodge,Automatic,Saudi,Full,2013,5.7,173,38000
2765,Prado,Toyota,Automatic,Gulf Arabic,Standard,2018,4.0,90000,138000
2766,Impala,Chevrolet,Automatic,Saudi,Semi Full,2016,3.6,51000,62000
2767,Accent,Hyundai,Automatic,Saudi,Semi Full,2018,1.4,51000,35000
2768,Rav4,Toyota,Automatic,Saudi,Standard,2018,2.5,133578,77500
2769,Sonata,Hyundai,Automatic,Saudi,Semi Full,2017,2.4,226000,41000
2770,Traverse,Chevrolet,Automatic,Saudi,Semi Full,2011,2.5,65000,35000
2771,Land Cruiser,Toyota,Manual,Saudi,Full,2004,4.0,600000,34800
2772,Maxima,Nissan,Manual,Saudi,Standard,2000,3.5,400000,12500
2773,Other,Ford,Automatic,Gulf Arabic,Semi Full,2013,3.0,318000,40000
2774,Senta fe,Hyundai,Automatic,Saudi,Standard,2016,3.3,134000,48000
2775,Duster,Renault,Automatic,Saudi,Standard,2017,2.0,124000,27000
2776,Tucson,Hyundai,Automatic,Saudi,Standard,2017,1.6,17005,70000
2777,Taurus,Ford,Automatic,Saudi,Semi Full,2019,2.0,89500,76000
2778,Hilux,Toyota,Manual,Saudi,Standard,2018,2.7,16700,72000
2779,Prado,Toyota,Automatic,Saudi,Semi Full,2018,4.0,74000,150000
2780,FJ,Toyota,Automatic,Saudi,Semi Full,2016,4.0,381000,88000
2781,3,Mazda,Automatic,Saudi,Standard,2015,1.6,200000,25000
2782,Tahoe,Chevrolet,Automatic,Saudi,Standard,2015,5.3,199000,97000
2783,Van,Ford,Automatic,Other,Semi Full,2013,3.6,186,45000
2784,Range Rover,Land Rover,Automatic,Saudi,Full,2004,5.3,300000,22000
2785,Innova,Toyota,Automatic,Saudi,Standard,2015,2.7,230000,45000
2786,Pajero,Mitsubishi,Automatic,Gulf Arabic,Full,2016,3.8,193000,58000
2787,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.4,65000,30000
2788,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2016,5.3,131929,116500
2789,2,Mazda,Automatic,Saudi,Standard,2011,1.5,37000,14000
2790,Cerato,Kia,Automatic,Other,Standard,2012,1.6,312287,17000
2791,Hilux,Toyota,Manual,Saudi,Semi Full,2017,2.7,150000,70000
2792,C300,Chrysler,Automatic,Other,Full,2013,5.7,178000,45000
2793,Hiace,Toyota,Manual,Saudi,Standard,2016,2.4,205812,65000
2794,Cerato,Kia,Automatic,Other,Semi Full,2014,1.6,187,25000
2795,GX,Lexus,Automatic,Saudi,Full,2015,4.6,170000,135000
2796,Silverado,Chevrolet,Automatic,Saudi,Semi Full,2014,5.3,213000,70000
2797,Yaris,Toyota,Automatic,Saudi,Standard,2019,1.5,112000,39500
2798,Hilux,Toyota,Manual,Saudi,Standard,2018,2.7,88000,79500
2799,Range Rover,Land Rover,Automatic,Saudi,Full,2009,5.0,195000,45000
2800,Camry,Toyota,Automatic,Saudi,Standard,2017,2.5,135000,60000
2801,Elantra,Hyundai,Automatic,Saudi,Full,2014,2.0,290000,33500
2802,Marquis,Ford,Automatic,Saudi,Semi Full,2005,4.6,270000,15000
2803,Charger,Dodge,Automatic,Other,Full,2013,5.7,175,38000
2804,Tahoe,Chevrolet,Automatic,Saudi,Standard,2019,5.3,117000,145000
2805,i40,Hyundai,Automatic,Saudi,Full,2015,2.0,48000,47000
2806,Patrol,Nissan,Automatic,Saudi,Full,2010,5.6,346000,70000
2807,Pajero,Mitsubishi,Automatic,Saudi,Full,2016,3.5,132000,56000
2808,C300,Chrysler,Automatic,Saudi,Semi Full,2008,6.0,212,12500
2809,Accent,Hyundai,Automatic,Saudi,Standard,2019,1.4,83000,37000
2810,F-Pace,Others,Automatic,Saudi,Full,2019,2.5,27000,185000
2811,XF,Others,Automatic,Saudi,Semi Full,2009,6.0,50000,35000
2812,The 4,BMW,Automatic,Saudi,Full,2016,2.0,110000,120000
2813,C,Mercedes,Automatic,Saudi,Semi Full,2019,2.0,44000,185000
2814,S,Mercedes,Automatic,Saudi,Semi Full,2000,3.0,100,15000
2815,Furniture,Toyota,Automatic,Saudi,Full,2017,4.0,102000,116500
2816,Corolla,Toyota,Automatic,Saudi,Standard,2016,1.6,270000,33000
2817,Innova,Toyota,Automatic,Saudi,Semi Full,2014,2.7,141000,55000
2818,Yukon,GMC,Automatic,Saudi,Full,2015,5.3,166616,135000
2819,H6,Others,Automatic,Saudi,Standard,2020,2.0,20000,57000
2820,Tucson,Hyundai,Automatic,Saudi,Semi Full,2020,2.0,44000,64000
2821,Sierra,GMC,Automatic,Saudi,Full,2014,6.2,118000,100000
2822,Azera,Hyundai,Automatic,Saudi,Full,2016,3.0,91747,66500
2823,Range Rover,Land Rover,Automatic,Saudi,Full,2017,5.0,150000,115000
2824,Sonata,Hyundai,Automatic,Saudi,Standard,2017,2.4,127000,43000
2825,Accent,Hyundai,Automatic,Saudi,Standard,2018,1.4,65700,32000
2826,Echo Sport,Ford,Automatic,Gulf Arabic,Semi Full,2020,2.0,2400,55000
2827,Silverado,Chevrolet,Automatic,Gulf Arabic,Full,2017,5.3,110000,107000
2828,Suburban,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,358000,55000
2829,Elantra,Hyundai,Automatic,Saudi,Standard,2019,1.6,73000,48500
2830,A8,Audi,Automatic,Other,Full,2013,4.0,100000,108000
2831,Caprice,Chevrolet,Automatic,Other,Standard,2013,6.0,215,42000
2832,Senta fe,Hyundai,Automatic,Saudi,Semi Full,2015,3.3,122,45000
2833,H2,Others,Automatic,Saudi,Full,2020,1.5,15000,49000
2834,Grand Cherokee,Jeep,Automatic,Saudi,Full,2020,3.6,27150,165000
2835,CT-S,Cadillac,Automatic,Saudi,Semi Full,2013,3.8,137000,45000
2836,Mustang,Ford,Automatic,Other,Full,2018,2.3,81000,119000
2837,B50,Others,Automatic,Other,Semi Full,2016,1.8,125000,20000
2838,Charger,Dodge,Automatic,Saudi,Semi Full,2018,1.6,5000,125000
2839,Furniture,Toyota,Automatic,Saudi,Full,2019,4.0,113000,105000
2840,Camry,Toyota,Automatic,Saudi,Standard,2014,2.5,220,46000
2841,6,MG,Automatic,Gulf Arabic,Full,2014,1.8,79000,23000
2842,Spark,Chevrolet,Automatic,Saudi,Standard,2017,1.4,101000,21000
2843,Yukon,GMC,Automatic,Saudi,Full,2011,5.3,350000,55000
2844,Taurus,Ford,Automatic,Other,Full,2016,3.5,129000,74000
2845,Bus Urvan,Nissan,Manual,Saudi,Standard,2016,2.5,106000,65000
2846,Previa,Toyota,Automatic,Gulf Arabic,Semi Full,2017,3.0,101000,65000
2847,Durango,Dodge,Automatic,Saudi,Semi Full,2014,3.6,244000,52000
2848,Sonata,Hyundai,Automatic,Saudi,Full,2018,2.4,97000,65000
2849,Malibu,Chevrolet,Automatic,Saudi,Full,2015,2.4,175500,32000
2850,Cadenza,Kia,Automatic,Saudi,Standard,2018,1.0,74000,60000
2851,Carnival,Kia,Automatic,Other,Standard,2014,6.0,259066,40000
2852,Hilux,Toyota,Manual,Saudi,Semi Full,2018,2.7,75335,78000
2853,Sunny,Nissan,Automatic,Saudi,Standard,2019,1.5,123291,29500
2854,Maxima,Nissan,Automatic,Saudi,Full,2017,1.0,860000,77000
2855,Pajero,Mitsubishi,Automatic,Saudi,Semi Full,2011,6.0,140000,38000
2856,Rio,Kia,Automatic,Other,Standard,2014,1.4,196,18000
2857,Elantra,Hyundai,Automatic,Saudi,Standard,2012,1.8,222000,17500
2858,Yukon,GMC,Automatic,Saudi,Standard,2013,3.5,157000,72000
2859,Sonata,Hyundai,Automatic,Gulf Arabic,Semi Full,2017,2.0,130,40000
2860,Sunny,Nissan,Automatic,Saudi,Standard,2019,1.5,99104,26800
2861,Camry,Toyota,Automatic,Saudi,Full,2017,1.4,13400,65000
2862,Odyssey,Honda,Automatic,Other,Standard,2009,3.5,200000,38000
2863,Furniture,Toyota,Automatic,Gulf Arabic,Standard,2015,2.7,243000,50000
2864,Durango,Dodge,Automatic,Other,Full,2013,5.7,275000,40000
2865,Accord,Honda,Automatic,Saudi,Full,2009,2.4,159000,36000
2866,Corolla,Toyota,Automatic,Saudi,Standard,2018,1.6,28000,54000
2867,Datsun,Nissan,Manual,Other,Full,2014,2.0,240000,30000
2868,The 7,BMW,Automatic,Saudi,Semi Full,2012,2.0,197000,50000
2869,Elantra,Hyundai,Automatic,Saudi,Standard,2020,2.0,142000,53000
2870,CS75,Changan,Automatic,Saudi,Standard,2021,1.6,8000,62000
2871,Taurus,Ford,Automatic,Saudi,Semi Full,2013,3.5,280000,46000
2872,Genesis,Hyundai,Automatic,Other,Standard,2017,3.8,128000,83000
2873,Taurus,Ford,Automatic,Saudi,Standard,2011,4.5,301515,26000
2874,H2,Others,Automatic,Saudi,Full,2021,1.5,6000,57900
2875,Sunny,Nissan,Automatic,Saudi,Standard,2017,1.5,106646,22500
2876,Camry,Toyota,Automatic,Saudi,Standard,2012,2.4,217000,39500
2877,X-Trail,Nissan,Automatic,Saudi,Semi Full,2017,2.5,119000,51000
2878,Camry,Toyota,Automatic,Saudi,Semi Full,2016,2.4,268000,58000
2879,Escalade,Cadillac,Automatic,Other,Semi Full,2007,6.2,476000,18000
2880,Sonata,Hyundai,Automatic,Saudi,Full,2018,2.4,49271,81500
2881,Land Cruiser,Toyota,Automatic,Saudi,Full,2012,1.0,448000,109000
2882,Sonata,Hyundai,Automatic,Saudi,Standard,2020,2.4,100,72910
2883,Eado,Changan,Automatic,Saudi,Semi Full,2020,1.6,94182,44000
2884,Yukon,GMC,Automatic,Saudi,Semi Full,2016,5.3,129356,140000
2885,6,Mazda,Automatic,Saudi,Standard,2006,1.6,288000,11000
2886,Expedition,Ford,Automatic,Saudi,Semi Full,2010,5.4,230,35000
2887,Doblo,Others,Manual,Saudi,Standard,2016,1.4,28400,20000
2888,MKX,Others,Automatic,Other,Full,2016,3.7,99000,99000
2889,Furniture,Toyota,Automatic,Saudi,Full,2020,4.0,18000,128000
2890,Corolla,Toyota,Automatic,Other,Full,2015,2.0,80000,39000
2891,Mustang,Ford,Manual,Other,Full,2015,5.0,111000,92999
2892,Land Cruiser,Toyota,Automatic,Saudi,Full,2011,4.0,273392,100000
2893,Prado,Toyota,Automatic,Gulf Arabic,Semi Full,2018,4.0,86000,127000
2894,C,Mercedes,Automatic,Other,Full,2017,2.0,86000,105000
2895,XJ,Others,Automatic,Saudi,Full,2014,3.0,112000,95000
2896,Kona,Hyundai,Automatic,Saudi,Standard,2020,2.0,10239,66500
2897,Cerato,Kia,Automatic,Saudi,Standard,2017,1.6,72000,37500
2898,Pajero,Mitsubishi,Automatic,Saudi,Full,2017,3.8,251000,65000
2899,Land Cruiser,Toyota,Manual,Saudi,Standard,2003,4.6,300,40000
2900,Sunny,Nissan,Automatic,Saudi,Full,2020,1.5,1300,43000
2901,Sunny,Nissan,Automatic,Saudi,Standard,2019,1.5,93000,29500
2902,Land Cruiser,Toyota,Automatic,Saudi,Semi Full,2017,4.6,125188,171500
2903,Tucson,Hyundai,Automatic,Saudi,Full,2016,2.4,97000,63000
2904,H1,Hyundai,Automatic,Saudi,Full,2014,2.4,185,39000
2905,Taurus,Ford,Automatic,Saudi,Standard,2018,2.0,91000,77000
2906,Land Cruiser,Toyota,Automatic,Saudi,Full,2013,5.7,257000,150000
2907,Charger,Dodge,Automatic,Saudi,Semi Full,2019,3.6,76000,102000
2908,Yaris,Toyota,Automatic,Saudi,Full,2015,1.5,204000,27500
2909,500,Others,Automatic,Saudi,Full,2020,1.4,11500,85000
2910,Tahoe,Chevrolet,Automatic,Other,Full,2018,5.3,127000,155000
2911,A5,Audi,Automatic,Saudi,Full,2016,2.0,108000,80000
2912,300,Chrysler,Automatic,Saudi,Full,2007,5.7,240000,17000
2913,Pajero,Mitsubishi,Automatic,Saudi,Standard,2012,3.5,77556,41500
2914,Grand Cherokee,Jeep,Automatic,Saudi,Full,2013,5.7,226,45000
2915,Armada,Nissan,Automatic,Saudi,Semi Full,2015,5.8,129500,40000
2916,Sonata,Hyundai,Automatic,Saudi,Semi Full,2020,2.5,44590,89500
2917,Avalon,Toyota,Automatic,Saudi,Standard,2015,3.5,249000,76000
2918,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.4,97700,30000
2919,Accent,Hyundai,Automatic,Saudi,Standard,2020,1.4,35547,41500
2920,Senta fe,Hyundai,Automatic,Saudi,Full,2014,3.3,201421,57500
2921,Accent,Hyundai,Automatic,Saudi,Standard,2019,1.4,115300,35000
2922,Hilux,Toyota,Manual,Saudi,Standard,2005,2.8,533000,25000
2923,Corolla,Toyota,Manual,Saudi,Standard,2015,1.6,128333,33000
2924,Accent,Hyundai,Automatic,Saudi,Standard,2018,1.4,93315,35500
2925,Suburban,Chevrolet,Automatic,Gulf Arabic,Standard,2016,5.2,96000,126000
2926,RX,Lexus,Automatic,Saudi,Standard,2015,3.5,70000,95000
2927,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2019,5.3,33000,163000
2928,Expedition,Ford,Automatic,Saudi,Semi Full,2016,5.4,98000,72000
2929,C,Mercedes,Automatic,Other,Full,2017,2.0,20000,180000
2930,S,Mercedes,Automatic,Gulf Arabic,Semi Full,2013,3.0,130000,115000
2931,Accent,Hyundai,Automatic,Saudi,Standard,2018,1.4,79000,30000
2932,Furniture,Toyota,Automatic,Saudi,Semi Full,2020,2.7,25000,110000
2933,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,363000,63000
2934,Flex,Ford,Automatic,Saudi,Standard,2014,3.5,128500,49000
2935,Taurus,Ford,Automatic,Saudi,Standard,2017,3.5,125000,62000
2936,E,Mercedes,Automatic,Saudi,Full,2016,3.0,64000,120000
2937,The 6,BMW,Automatic,Saudi,Semi Full,2016,3.0,39000,190000
2938,Silverado,Chevrolet,Automatic,Gulf Arabic,Semi Full,2014,5.3,233,75000
2939,Kona,Hyundai,Automatic,Saudi,Standard,2019,2.0,19000,59000
2940,Camry,Toyota,Automatic,Saudi,Standard,2015,2.5,310000,30000
2941,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,266000,56000
2942,Caprice,Chevrolet,Automatic,Saudi,Standard,2013,6.0,70375,80500
2943,Avalon,Toyota,Automatic,Other,Semi Full,2015,3.5,80000,86000
2944,Charger,Dodge,Automatic,Other,Full,2016,5.7,142000,89000
2945,Tahoe,Chevrolet,Automatic,Saudi,Standard,2013,5.3,362000,58000
2946,Elantra,Hyundai,Automatic,Saudi,Standard,2019,1.6,61374,46500
2947,Furniture,Toyota,Automatic,Saudi,Standard,2021,2.7,980,120000
2948,Taurus,Ford,Automatic,Saudi,Standard,2019,3.0,77000,77000
2949,H3,Others,Automatic,Saudi,Full,2009,5.2,200000,38000
2950,Land Cruiser,Toyota,Automatic,Saudi,Semi Full,2007,1.0,400000,30000
2951,Camry,Toyota,Automatic,Saudi,Full,2016,1.0,75000,62000
2952,Expedition,Ford,Automatic,Saudi,Semi Full,2007,5.4,300,18000
2953,Corolla,Toyota,Automatic,Saudi,Standard,2018,1.6,89000,45000
2954,Seven,Changan,Automatic,Saudi,Standard,2020,1.4,41600,28000
2955,Accord,Honda,Automatic,Saudi,Semi Full,2013,2.4,363000,42500
2956,Caprice,Chevrolet,Automatic,Saudi,Standard,2013,6.0,106000,79000
2957,F150,Ford,Automatic,Gulf Arabic,Standard,2019,5.0,22000,110000
2958,Beetle,Volkswagen,Automatic,Saudi,Full,2015,6.0,130000,55000
2959,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2016,5.3,104000,112000
2960,Yukon,GMC,Automatic,Saudi,Semi Full,2016,5.3,112000,110000
2961,Jetta,Volkswagen,Automatic,Saudi,Full,2017,2.5,82000,54000
2962,Prado,Toyota,Manual,Saudi,Semi Full,2013,4.0,186000,55000
